Circulating Library,Destination Library,Transit ID
Lackawanna County Children's Library,Claysburg Area Public Library,1
Lackawanna County Children's Library,Dalton Community Library,146
Lackawanna County Children's Library,Dingman Township Library,20
Lackawanna County Children's Library,Ebensburg Public Library,5
Lackawanna County Children's Library,Forest City,1
Lackawanna County Children's Library,Hallstead - Great Bend,59
Lackawanna County Children's Library,Hamlin Library,6
Lackawanna County Children's Library,Hastings Public Library,2
Lackawanna County Children's Library,Hawley Public Library,22
Lackawanna County Children's Library,Highland Community Library,20
Lackawanna County Children's Library,Hollidaysburg Area Public Library,19
Lackawanna County Children's Library,Home Delivery,6
Lackawanna County Children's Library,Lackawanna County Children's Library,36
Lackawanna County Children's Library,Martinsburg Community Library,9
Lackawanna County Children's Library,Milford Library,117
Lackawanna County Children's Library,Montrose,24
Lackawanna County Children's Library,Nancy Kay Holmes Branch Library,122
Lackawanna County Children's Library,Nanty Glo Public Library,1
Lackawanna County Children's Library,Newfoundland Area Library,5
Lackawanna County Children's Library,North Pocono Public Library,553
Lackawanna County Children's Library,Northern Cambria Public Library,1
Lackawanna County Children's Library,Northern Wayne Community Library,4
Lackawanna County Children's Library,Pleasant Mount Library,2
Lackawanna County Children's Library,Portage Public Library,1
Lackawanna County Children's Library,Roaring Spring Community Library,1
Lackawanna County Children's Library,South Fork Public Library,1
Lackawanna County Children's Library,Susquehanna,8
Lackawanna County Children's Library,Taylor Community Library,77
Lackawanna County Children's Library,Tunkhannock Public Library,77
Lackawanna County Children's Library,Tyrone-Snyder Public Library,5
Lackawanna County Children's Library,Valley Community Library,349
Lackawanna County Children's Library,Wayne County Public Library,28
Lackawanna County Children's Library,Williamsburg Public Library,3
Lackawanna County Library System Bookmobile,Abington Community Library,1
Lackawanna County Library System Bookmobile,Albright Memorial Library,1
Lackawanna County Library System Bookmobile,Dalton Community Library,1
Lackawanna County Library System Bookmobile,Dingman Township Library,1
Lackawanna County Library System Bookmobile,North Pocono Public Library,1
Lehighton Area Memorial Library,Allentown Public Library,23
Lehighton Area Memorial Library,Bangor Public Library,19
Lehighton Area Memorial Library,Barrett Paradise Friendly Library,9
Lehighton Area Memorial Library,Bethlehem Bookmobile,5
Lehighton Area Memorial Library,Bethlehem Coolidge Branch,14
Lehighton Area Memorial Library,Bethlehem Main Library,43
Lehighton Area Memorial Library,Bethlehem South Side Branch,4
Lehighton Area Memorial Library,Clymer Library,4
Lehighton Area Memorial Library,Coplay Public Library,16
Lehighton Area Memorial Library,Dimmick Main Library,31
Lehighton Area Memorial Library,Easton Main Library,21
Lehighton Area Memorial Library,Easton Palmer Branch,22
Lehighton Area Memorial Library,Emmaus Public Library,154
Lehighton Area Memorial Library,Hughes Library,17
Lehighton Area Memorial Library,Lehighton Area Memorial Library,12
Lehighton Area Memorial Library,Lower Macungie Library,361
Lehighton Area Memorial Library,Monroe County Bookmobile,3
Lehighton Area Memorial Library,Palmerton Area Library,41
Lehighton Area Memorial Library,Parkland Community Library,587
Lehighton Area Memorial Library,Penn-Kidder Branch,15
Lehighton Area Memorial Library,Pocono Mountain Public Library,2
Lehighton Area Memorial Library,Pocono Township Branch,5
Lehighton Area Memorial Library,Public Library of Catasauqua,32
Lehighton Area Memorial Library,Slatington Public Library,21
Lehighton Area Memorial Library,Smithfield Branch,19
Lehighton Area Memorial Library,Southern Lehigh Public Library,177
Lehighton Area Memorial Library,Western Pocono Community Library,11
Lehighton Area Memorial Library,Whitehall Township Public Library,125
Lilly Washington Public Library,Abington Community Library,32
Lilly Washington Public Library,Albright Memorial Library,16
Lilly Washington Public Library,Altoona Area Public Library,10
Lilly Washington Public Library,Beaverdale Public Library,21
Lilly Washington Public Library,Bellwood-Antis Public Library,1
Lilly Washington Public Library,Cambria County Library,33
Lilly Washington Public Library,Carbondale Public Library,4
Lilly Washington Public Library,Carrolltown Public Library,11
Lilly Washington Public Library,Cresson Public Library,8
Lilly Washington Public Library,Dalton Community Library,4
Lilly Washington Public Library,Ebensburg Public Library,8
Lilly Washington Public Library,Gallitzin Public Library,2
Lilly Washington Public Library,Highland Community Library,27
Lilly Washington Public Library,Hollidaysburg Area Public Library,6
Lilly Washington Public Library,Home Delivery,2
Lilly Washington Public Library,Lackawanna County Children's Library,4
Lilly Washington Public Library,Lilly Washington Public Library,4
Lilly Washington Public Library,Martinsburg Community Library,1
Lilly Washington Public Library,Nancy Kay Holmes Branch Library,4
Lilly Washington Public Library,Nanty Glo Public Library,11
Lilly Washington Public Library,North Pocono Public Library,20
Lilly Washington Public Library,Northern Cambria Public Library,5
Lilly Washington Public Library,Patton Public Library,2
Lilly Washington Public Library,Portage Public Library,19
Lilly Washington Public Library,Somerset County Bookmobile,1
Lilly Washington Public Library,South Fork Public Library,3
Lilly Washington Public Library,Taylor Community Library,5
Lilly Washington Public Library,Tyrone-Snyder Public Library,6
Lilly Washington Public Library,Valley Community Library,18
Lincoln Charter School,Collinsville Community Library,22
Lincoln Charter School,Dillsburg Area Public Library,63
Lincoln Charter School,Dover Area Community Library,57
Lincoln Charter School,Glatfelter Memorial Library,30
Lincoln Charter School,Guthrie Memorial Library: Hanover's Public Library,35
Lincoln Charter School,Kaltreider-Benfer Library,59
Lincoln Charter School,Kreutz Creek Valley Library,56
Lincoln Charter School,Lincoln Charter School,1
Lincoln Charter School,Manchester Township,13
Lincoln Charter School,Martin Library,43
Lincoln Charter School,Mason-Dixon Public Library,12
Lincoln Charter School,Paul Smith Library of Southern York County,109
Lincoln Charter School,Red Land Community Library,17
Lincoln Charter School,Springettsbury Township,9
Lincoln Charter School,Village Library,46
Lincoln Charter School,York Academy Regional Charter School- Lower School ,17
Littlestown Library,AccessPA NCIP Library,64
Littlestown Library,Carroll Valley Library,411
Littlestown Library,Collinsville Community Library,1
Littlestown Library,Dillsburg Area Public Library,4
Littlestown Library,Gettysburg Library,920
Littlestown Library,Glatfelter Memorial Library,1
Littlestown Library,Guthrie Memorial Library: Hanover's Public Library,2
Littlestown Library,Harbaugh-Thomas Library (Biglerville),728
Littlestown Library,Kaltreider-Benfer Library,5
Littlestown Library,Kreutz Creek Valley Library,6
Littlestown Library,Littlestown Library,401
Littlestown Library,Manchester Township,1
Littlestown Library,Martin Library,2
Littlestown Library,Mason-Dixon Public Library,3
Littlestown Library,New Oxford Library,834
Littlestown Library,Paul Smith Library of Southern York County,6
Littlestown Library,Red Land Community Library,2
Littlestown Library,Trone Memorial Library (East Berlin),563
Littlestown Library,Village Library,3
Lower Macungie Library,Allentown Public Library,128
Lower Macungie Library,Bangor Public Library,95
Lower Macungie Library,Barrett Paradise Friendly Library,44
Lower Macungie Library,Bethlehem Bookmobile,18
Lower Macungie Library,Bethlehem Coolidge Branch,31
Lower Macungie Library,Bethlehem Fountain Hill Satellite,1
Lower Macungie Library,Bethlehem Main Library,291
Lower Macungie Library,Bethlehem South Side Branch,40
Lower Macungie Library,Clymer Library,27
Lower Macungie Library,Coplay Public Library,69
Lower Macungie Library,Dimmick Main Library,81
Lower Macungie Library,Easton Main Library,126
Lower Macungie Library,Easton Palmer Branch,129
Lower Macungie Library,Emmaus Public Library,602
Lower Macungie Library,Hughes Library,165
Lower Macungie Library,Lehighton Area Memorial Library,356
Lower Macungie Library,Lower Macungie Library,229
Lower Macungie Library,Monroe County Bookmobile,21
Lower Macungie Library,Palmerton Area Library,174
Lower Macungie Library,Parkland Community Library,2251
Lower Macungie Library,Penn-Kidder Branch,53
Lower Macungie Library,Pocono Mountain Public Library,25
Lower Macungie Library,Pocono Township Branch,31
Lower Macungie Library,Public Library of Catasauqua,248
Lower Macungie Library,Slatington Public Library,74
Lower Macungie Library,Smithfield Branch,77
Lower Macungie Library,Southern Lehigh Public Library,801
Lower Macungie Library,Western Pocono Community Library,46
Lower Macungie Library,Whitehall Township Public Library,612
Mansfield Free Public Library,Blossburg Memorial Library,17
Mansfield Free Public Library,Coudersport Public Library,13
Mansfield Free Public Library,Elkland Area Community Library,2
Mansfield Free Public Library,Galeton Public Library,2
Mansfield Free Public Library,Genesee Area Library,7
Mansfield Free Public Library,Green Free Library (Wellsboro),55
Mansfield Free Public Library,Oswayo Valley Memorial Library,17
Mansfield Free Public Library,Westfield Public Library,2
Martin Library,Arthur Hufnagel Public Library,79
Martin Library,Carroll Valley Library,165
Martin Library,Collinsville Community Library,724
Martin Library,Dillsburg Area Public Library,1961
Martin Library,Dover Area Community Library,3187
Martin Library,Gettysburg Library,382
Martin Library,Glatfelter Memorial Library,1570
Martin Library,Guthrie Memorial Library: Hanover's Public Library,3216
Martin Library,Harbaugh-Thomas Library (Biglerville),198
Martin Library,Kaltreider-Benfer Library,2720
Martin Library,Kreutz Creek Valley Library,2530
Martin Library,Lincoln Charter School,29
Martin Library,Littlestown Library,206
Martin Library,Manchester Township,506
Martin Library,Martin Library,654
Martin Library,Mason-Dixon Public Library,1110
Martin Library,New Oxford Library,221
Martin Library,Paul Smith Library of Southern York County,2787
Martin Library,Red Land Community Library,1260
Martin Library,Springettsbury Township,344
Martin Library,Trone Memorial Library (East Berlin),187
Martin Library,Village Library,2666
Martin Library,York Academy Regional Charter School- Lower School ,88
Martin Library,York Academy Regional Charter School- Upper School,41
Martin Library,York Literacy Institute,1
Martinsburg Community Library,Abington Community Library,73
Martinsburg Community Library,Albright Memorial Library,34
Martinsburg Community Library,Altoona Area Public Library,163
Martinsburg Community Library,Beaverdale Public Library,6
Martinsburg Community Library,Bedford County Library,44
Martinsburg Community Library,Bellwood-Antis Public Library,36
Martinsburg Community Library,Cambria County Library,27
Martinsburg Community Library,Carbondale Public Library,20
Martinsburg Community Library,Carrolltown Public Library,3
Martinsburg Community Library,Claysburg Area Public Library,12
Martinsburg Community Library,Cresson Public Library,1
Martinsburg Community Library,Dalton Community Library,8
Martinsburg Community Library,Ebensburg Public Library,14
Martinsburg Community Library,Everett Free Library,43
Martinsburg Community Library,Gallitzin Public Library,1
Martinsburg Community Library,Hastings Public Library,2
Martinsburg Community Library,Highland Community Library,17
Martinsburg Community Library,Hollidaysburg Area Public Library,135
Martinsburg Community Library,Huntingdon County Library,78
Martinsburg Community Library,Hyndman-Londonderry Public Library,13
Martinsburg Community Library,Lackawanna County Children's Library,10
Martinsburg Community Library,Martinsburg Community Library,8
Martinsburg Community Library,Nancy Kay Holmes Branch Library,10
Martinsburg Community Library,Nanty Glo Public Library,5
Martinsburg Community Library,North Pocono Public Library,35
Martinsburg Community Library,Northern Cambria Public Library,3
Martinsburg Community Library,Patton Public Library,1
Martinsburg Community Library,Portage Public Library,9
Martinsburg Community Library,Roaring Spring Community Library,15
Martinsburg Community Library,Saxton Community Library,8
Martinsburg Community Library,South Fork Public Library,2
Martinsburg Community Library,Taylor Community Library,23
Martinsburg Community Library,Tyrone-Snyder Public Library,89
Martinsburg Community Library,Valley Community Library,27
Martinsburg Community Library,Williamsburg Public Library,11
Mary S. Biesecker Main Library,Cambria County Library,2
Mary S. Biesecker Main Library,Conemaugh Township Branch,1
Mary S. Biesecker Main Library,Ebensburg Public Library,1
Mary S. Biesecker Main Library,Gallitzin Public Library,2
Mary S. Biesecker Main Library,Meyersdale Public Library,5
Mary S. Biesecker Main Library,Somerset County Bookmobile,14
Mary S. Biesecker Main Library,Somerset County Library,9
Mary S. Biesecker Main Library,Windber Public Library,15
Mason-Dixon Public Library,Arthur Hufnagel Public Library,27
Mason-Dixon Public Library,Carroll Valley Library,70
Mason-Dixon Public Library,Collinsville Community Library,228
Mason-Dixon Public Library,Dillsburg Area Public Library,782
Mason-Dixon Public Library,Dover Area Community Library,1370
Mason-Dixon Public Library,Gettysburg Library,189
Mason-Dixon Public Library,Glatfelter Memorial Library,588
Mason-Dixon Public Library,Guthrie Memorial Library: Hanover's Public Library,1116
Mason-Dixon Public Library,Harbaugh-Thomas Library (Biglerville),90
Mason-Dixon Public Library,Kaltreider-Benfer Library,1063
Mason-Dixon Public Library,Kreutz Creek Valley Library,984
Mason-Dixon Public Library,Lincoln Charter School,17
Mason-Dixon Public Library,Littlestown Library,102
Mason-Dixon Public Library,Manchester Township,182
Mason-Dixon Public Library,Martin Library,916
Mason-Dixon Public Library,Mason-Dixon Public Library,116
Mason-Dixon Public Library,New Oxford Library,102
Mason-Dixon Public Library,Paul Smith Library of Southern York County,933
Mason-Dixon Public Library,Red Land Community Library,465
Mason-Dixon Public Library,Springettsbury Township,114
Mason-Dixon Public Library,Trone Memorial Library (East Berlin),87
Mason-Dixon Public Library,Village Library,1000
Mason-Dixon Public Library,York Academy Regional Charter School- Lower School ,35
Mason-Dixon Public Library,York Academy Regional Charter School- Upper School,11
Memorial Library of Nazareth and Vicinity,Easton Main Library,235
Memorial Library of Nazareth and Vicinity,Easton Palmer Branch,271
Memorial Library of Nazareth and Vicinity,Memorial Library of Nazareth and Vicinity,43
Meyersdale Public Library,Beaverdale Public Library,2
Meyersdale Public Library,Bedford County Library,31
Meyersdale Public Library,Cambria County Library,6
Meyersdale Public Library,Carrolltown Public Library,2
Meyersdale Public Library,Conemaugh Township Branch,63
Meyersdale Public Library,Cresson Public Library,2
Meyersdale Public Library,Ebensburg Public Library,1
Meyersdale Public Library,Everett Free Library,26
Meyersdale Public Library,Highland Community Library,3
Meyersdale Public Library,Hyndman-Londonderry Public Library,1
Meyersdale Public Library,Lilly Washington Public Library,1
Meyersdale Public Library,Mary S. Biesecker Main Library,3
Meyersdale Public Library,Meyersdale Public Library,6
Meyersdale Public Library,Nanty Glo Public Library,1
Meyersdale Public Library,Northern Cambria Public Library,1
Meyersdale Public Library,Saxton Community Library,4
Meyersdale Public Library,Somerset County Bookmobile,106
Meyersdale Public Library,Somerset County Library,93
Meyersdale Public Library,Windber Public Library,33
Mifflin Community Library,BCPL - Headquarters,11
Mifflin Community Library,Bernville Area Community Library,197
Mifflin Community Library,Bethel Tulpehocken Public Library,437
Mifflin Community Library,Boone Area Library,252
Mifflin Community Library,Boyertown Community Library,832
Mifflin Community Library,Brandywine Community Library,328
Mifflin Community Library,Exeter Community Library,953
Mifflin Community Library,Fleetwood Area Public Library,367
Mifflin Community Library,Hamburg Public Library,392
Mifflin Community Library,Kutztown Community Library,414
Mifflin Community Library,Mifflin Community Library,126
Mifflin Community Library,Muhlenberg Community Library,268
Mifflin Community Library,RACC,41
Mifflin Community Library,RPL - Northeast Branch,135
Mifflin Community Library,RPL - Northwest Branch Library,33
Mifflin Community Library,RPL - Senior Outreach,47
Mifflin Community Library,RPL - Southeast Branch Library,135
Mifflin Community Library,Reading Public Library RPL - Main,200
Mifflin Community Library,Robesonia Community Library,126
Mifflin Community Library,Schuylkill Valley Community Library,191
Mifflin Community Library,Sinking Spring Library,267
Mifflin Community Library,Spring Township Library,515
Mifflin Community Library,Village Library of Morgantown,225
Mifflin Community Library,Wernersville Public Library,279
Mifflin Community Library,West Lawn-Wyomissing Hills Library,179
Mifflin Community Library,Womelsdorf Community Library,230
Milford Library,Abington Community Library,83
Milford Library,AccessPA NCIP Library,188
Milford Library,Albright Memorial Library,103
Milford Library,Bethany Public Library,35
Milford Library,Carbondale Public Library,29
Milford Library,Dalton Community Library,10
Milford Library,Dingman Township Library,943
Milford Library,Forest City,9
Milford Library,Hallstead - Great Bend,46
Milford Library,Hamlin Library,148
Milford Library,Hawley Public Library,218
Milford Library,Home Delivery,11
Milford Library,Lackawanna County Children's Library,15
Milford Library,Milford Library,231
Milford Library,Montrose,43
Milford Library,Nancy Kay Holmes Branch Library,26
Milford Library,Newfoundland Area Library,116
Milford Library,North Pocono Public Library,61
Milford Library,Northern Wayne Community Library,49
Milford Library,Pleasant Mount Library,71
Milford Library,Susquehanna,29
Milford Library,Taylor Community Library,16
Milford Library,Tunkhannock Public Library,85
Milford Library,Valley Community Library,36
Milford Library,Wayne County Public Library,495
Monroe County Bookmobile,Allentown Public Library,3
Monroe County Bookmobile,Bangor Public Library,1
Monroe County Bookmobile,Barrett Paradise Friendly Library,10
Monroe County Bookmobile,Bethlehem Bookmobile,1
Monroe County Bookmobile,Bethlehem Main Library,8
Monroe County Bookmobile,Bethlehem South Side Branch,1
Monroe County Bookmobile,Clymer Library,3
Monroe County Bookmobile,Coplay Public Library,2
Monroe County Bookmobile,Easton Main Library,6
Monroe County Bookmobile,Easton Palmer Branch,6
Monroe County Bookmobile,Emmaus Public Library,4
Monroe County Bookmobile,Hughes Library,88
Monroe County Bookmobile,Lehighton Area Memorial Library,2
Monroe County Bookmobile,Lower Macungie Library,6
Monroe County Bookmobile,Monroe County Bookmobile,6
Monroe County Bookmobile,Parkland Community Library,5
Monroe County Bookmobile,Pocono Mountain Public Library,3
Monroe County Bookmobile,Pocono Township Branch,63
Monroe County Bookmobile,Public Library of Catasauqua,1
Monroe County Bookmobile,Smithfield Branch,43
Monroe County Bookmobile,Southern Lehigh Public Library,2
Monroe County Bookmobile,Western Pocono Community Library,11
Monroe County Bookmobile,Whitehall Township Public Library,2
Monroe County Correctional Facility,Allentown Public Library,1
Monroe County Correctional Facility,Bangor Public Library,4
Monroe County Correctional Facility,Barrett Paradise Friendly Library,4
Monroe County Correctional Facility,Bethlehem Coolidge Branch,2
Monroe County Correctional Facility,Bethlehem Main Library,3
Monroe County Correctional Facility,Clymer Library,3
Monroe County Correctional Facility,Dimmick Main Library,1
Monroe County Correctional Facility,Easton Main Library,1
Monroe County Correctional Facility,Emmaus Public Library,1
Monroe County Correctional Facility,Hughes Library,15
Monroe County Correctional Facility,Lower Macungie Library,3
Monroe County Correctional Facility,Monroe County Bookmobile,1
Monroe County Correctional Facility,Parkland Community Library,1
Monroe County Correctional Facility,Pocono Mountain Public Library,1
Monroe County Correctional Facility,Pocono Township Branch,6
Monroe County Correctional Facility,Smithfield Branch,8
Monroe County Correctional Facility,Southern Lehigh Public Library,1
Monroe County Correctional Facility,Western Pocono Community Library,4
Montrose,Abington Community Library,226
Montrose,Albright Memorial Library,131
Montrose,Bethany Public Library,5
Montrose,Carbondale Public Library,35
Montrose,Dalton Community Library,36
Montrose,Dingman Township Library,66
Montrose,Forest City,85
Montrose,Hallstead - Great Bend,565
Montrose,Hamlin Library,40
Montrose,Hawley Public Library,67
Montrose,Home Delivery,18
Montrose,Lackawanna County Children's Library,21
Montrose,Milford Library,238
Montrose,Montrose,52
Montrose,Nancy Kay Holmes Branch Library,51
Montrose,Newfoundland Area Library,41
Montrose,North Pocono Public Library,125
Montrose,Northern Wayne Community Library,6
Montrose,Pleasant Mount Library,16
Montrose,Susquehanna,284
Montrose,Taylor Community Library,41
Montrose,Tunkhannock Public Library,185
Montrose,Valley Community Library,123
Montrose,Wayne County Public Library,128
Muhlenberg Community Library,BCPL - Headquarters,10
Muhlenberg Community Library,Bernville Area Community Library,135
Muhlenberg Community Library,Bethel Tulpehocken Public Library,348
Muhlenberg Community Library,Boone Area Library,233
Muhlenberg Community Library,Boyertown Community Library,608
Muhlenberg Community Library,Brandywine Community Library,248
Muhlenberg Community Library,Exeter Community Library,761
Muhlenberg Community Library,Fleetwood Area Public Library,277
Muhlenberg Community Library,Hamburg Public Library,288
Muhlenberg Community Library,Kutztown Community Library,308
Muhlenberg Community Library,Mifflin Community Library,444
Muhlenberg Community Library,Muhlenberg Community Library,130
Muhlenberg Community Library,RACC,29
Muhlenberg Community Library,RPL - Northeast Branch,102
Muhlenberg Community Library,RPL - Northwest Branch Library,33
Muhlenberg Community Library,RPL - Senior Outreach,44
Muhlenberg Community Library,RPL - Southeast Branch Library,108
Muhlenberg Community Library,Reading Public Library RPL - Main,180
Muhlenberg Community Library,Robesonia Community Library,102
Muhlenberg Community Library,Schuylkill Valley Community Library,154
Muhlenberg Community Library,Sinking Spring Library,205
Muhlenberg Community Library,Spring Township Library,365
Muhlenberg Community Library,Village Library of Morgantown,161
Muhlenberg Community Library,Wernersville Public Library,186
Muhlenberg Community Library,West Lawn-Wyomissing Hills Library,183
Muhlenberg Community Library,Womelsdorf Community Library,177
Nancy Kay Holmes Branch Library,Abington Community Library,477
Nancy Kay Holmes Branch Library,AccessPA NCIP Library,17
Nancy Kay Holmes Branch Library,Albright Memorial Library,346
Nancy Kay Holmes Branch Library,Altoona Area Public Library,29
Nancy Kay Holmes Branch Library,Beaverdale Public Library,2
Nancy Kay Holmes Branch Library,Bellwood-Antis Public Library,1
Nancy Kay Holmes Branch Library,Bethany Public Library,3
Nancy Kay Holmes Branch Library,Cambria County Library,14
Nancy Kay Holmes Branch Library,Carbondale Public Library,122
Nancy Kay Holmes Branch Library,Carrolltown Public Library,1
Nancy Kay Holmes Branch Library,Dalton Community Library,73
Nancy Kay Holmes Branch Library,Dingman Township Library,19
Nancy Kay Holmes Branch Library,Ebensburg Public Library,6
Nancy Kay Holmes Branch Library,Forest City,5
Nancy Kay Holmes Branch Library,Hallstead - Great Bend,26
Nancy Kay Holmes Branch Library,Hamlin Library,12
Nancy Kay Holmes Branch Library,Hawley Public Library,15
Nancy Kay Holmes Branch Library,Highland Community Library,11
Nancy Kay Holmes Branch Library,Hollidaysburg Area Public Library,16
Nancy Kay Holmes Branch Library,Home Delivery,42
Nancy Kay Holmes Branch Library,Lackawanna County Children's Library,114
Nancy Kay Holmes Branch Library,Lilly Washington Public Library,1
Nancy Kay Holmes Branch Library,Martinsburg Community Library,7
Nancy Kay Holmes Branch Library,Milford Library,81
Nancy Kay Holmes Branch Library,Montrose,22
Nancy Kay Holmes Branch Library,Nancy Kay Holmes Branch Library,130
Nancy Kay Holmes Branch Library,Nanty Glo Public Library,2
Nancy Kay Holmes Branch Library,Newfoundland Area Library,10
Nancy Kay Holmes Branch Library,North Pocono Public Library,273
Nancy Kay Holmes Branch Library,Northern Cambria Public Library,2
Nancy Kay Holmes Branch Library,Northern Wayne Community Library,1
Nancy Kay Holmes Branch Library,Pleasant Mount Library,7
Nancy Kay Holmes Branch Library,Portage Public Library,5
Nancy Kay Holmes Branch Library,Roaring Spring Community Library,2
Nancy Kay Holmes Branch Library,Susquehanna,17
Nancy Kay Holmes Branch Library,Taylor Community Library,129
Nancy Kay Holmes Branch Library,Tunkhannock Public Library,59
Nancy Kay Holmes Branch Library,Tyrone-Snyder Public Library,5
Nancy Kay Holmes Branch Library,Valley Community Library,246
Nancy Kay Holmes Branch Library,Wayne County Public Library,51
Nancy Kay Holmes Branch Library,Williamsburg Public Library,2
Nanty Glo Public Library,Abington Community Library,30
Nanty Glo Public Library,Albright Memorial Library,24
Nanty Glo Public Library,Altoona Area Public Library,18
Nanty Glo Public Library,Beaverdale Public Library,18
Nanty Glo Public Library,Bellwood-Antis Public Library,5
Nanty Glo Public Library,Cambria County Library,92
Nanty Glo Public Library,Carbondale Public Library,10
Nanty Glo Public Library,Carrolltown Public Library,5
Nanty Glo Public Library,Cresson Public Library,4
Nanty Glo Public Library,Dalton Community Library,4
Nanty Glo Public Library,Ebensburg Public Library,24
Nanty Glo Public Library,Gallitzin Public Library,1
Nanty Glo Public Library,Hastings Public Library,1
Nanty Glo Public Library,Highland Community Library,82
Nanty Glo Public Library,Hollidaysburg Area Public Library,17
Nanty Glo Public Library,Home Delivery,4
Nanty Glo Public Library,Lackawanna County Children's Library,3
Nanty Glo Public Library,Lilly Washington Public Library,11
Nanty Glo Public Library,Martinsburg Community Library,4
Nanty Glo Public Library,Mary S. Biesecker Main Library,1
Nanty Glo Public Library,Nancy Kay Holmes Branch Library,3
Nanty Glo Public Library,Nanty Glo Public Library,1
Nanty Glo Public Library,North Pocono Public Library,19
Nanty Glo Public Library,Northern Cambria Public Library,15
Nanty Glo Public Library,Patton Public Library,8
Nanty Glo Public Library,Portage Public Library,27
Nanty Glo Public Library,Somerset County Library,5
Nanty Glo Public Library,South Fork Public Library,1
Nanty Glo Public Library,Taylor Community Library,14
Nanty Glo Public Library,Tyrone-Snyder Public Library,5
Nanty Glo Public Library,Valley Community Library,18
New Castle Public Library,Ellwood City Area Public Library,11
New Castle Public Library,FD Campbell Memorial Library,1
New Castle Public Library,Lawrence County Bookmobile,2
New Oxford Library,AccessPA NCIP Library,53
New Oxford Library,Carroll Valley Library,446
New Oxford Library,Collinsville Community Library,2
New Oxford Library,Dover Area Community Library,1
New Oxford Library,Gettysburg Library,1023
New Oxford Library,Glatfelter Memorial Library,1
New Oxford Library,Guthrie Memorial Library: Hanover's Public Library,9
New Oxford Library,Harbaugh-Thomas Library (Biglerville),721
New Oxford Library,Kaltreider-Benfer Library,2
New Oxford Library,Kreutz Creek Valley Library,1
New Oxford Library,Littlestown Library,637
New Oxford Library,Martin Library,11
New Oxford Library,New Oxford Library,395
New Oxford Library,Paul Smith Library of Southern York County,3
New Oxford Library,Red Land Community Library,5
New Oxford Library,Trone Memorial Library (East Berlin),595
Newfoundland Area Library,Abington Community Library,28
Newfoundland Area Library,Albright Memorial Library,17
Newfoundland Area Library,Bethany Public Library,17
Newfoundland Area Library,Carbondale Public Library,11
Newfoundland Area Library,Dalton Community Library,4
Newfoundland Area Library,Dingman Township Library,155
Newfoundland Area Library,Forest City,5
Newfoundland Area Library,Hallstead - Great Bend,13
Newfoundland Area Library,Hamlin Library,122
Newfoundland Area Library,Hawley Public Library,158
Newfoundland Area Library,Home Delivery,2
Newfoundland Area Library,Lackawanna County Children's Library,3
Newfoundland Area Library,Milford Library,401
Newfoundland Area Library,Montrose,21
Newfoundland Area Library,Nancy Kay Holmes Branch Library,7
Newfoundland Area Library,Newfoundland Area Library,8
Newfoundland Area Library,North Pocono Public Library,17
Newfoundland Area Library,Northern Wayne Community Library,34
Newfoundland Area Library,Pleasant Mount Library,33
Newfoundland Area Library,Susquehanna,6
Newfoundland Area Library,Taylor Community Library,17
Newfoundland Area Library,Tunkhannock Public Library,25
Newfoundland Area Library,Valley Community Library,12
Newfoundland Area Library,Wayne County Public Library,401
North Pocono Public Library,Abington Community Library,928
North Pocono Public Library,AccessPA NCIP Library,48
North Pocono Public Library,Albright Memorial Library,791
North Pocono Public Library,Altoona Area Public Library,55
North Pocono Public Library,Beaverdale Public Library,5
North Pocono Public Library,Bellwood-Antis Public Library,7
North Pocono Public Library,Bethany Public Library,4
North Pocono Public Library,Cambria County Library,43
North Pocono Public Library,Carbondale Public Library,252
North Pocono Public Library,Carrolltown Public Library,10
North Pocono Public Library,Claysburg Area Public Library,2
North Pocono Public Library,Cresson Public Library,2
North Pocono Public Library,Dalton Community Library,152
North Pocono Public Library,Dingman Township Library,59
North Pocono Public Library,Ebensburg Public Library,7
North Pocono Public Library,Forest City,11
North Pocono Public Library,Gallitzin Public Library,2
North Pocono Public Library,Hallstead - Great Bend,120
North Pocono Public Library,Hamlin Library,29
North Pocono Public Library,Hastings Public Library,3
North Pocono Public Library,Hawley Public Library,33
North Pocono Public Library,Highland Community Library,26
North Pocono Public Library,Hollidaysburg Area Public Library,16
North Pocono Public Library,Home Delivery,84
North Pocono Public Library,Lackawanna County Children's Library,311
North Pocono Public Library,Lilly Washington Public Library,5
North Pocono Public Library,Martinsburg Community Library,15
North Pocono Public Library,Milford Library,220
North Pocono Public Library,Montrose,60
North Pocono Public Library,Nancy Kay Holmes Branch Library,233
North Pocono Public Library,Nanty Glo Public Library,7
North Pocono Public Library,Newfoundland Area Library,16
North Pocono Public Library,North Pocono Public Library,206
North Pocono Public Library,Northern Cambria Public Library,5
North Pocono Public Library,Northern Wayne Community Library,3
North Pocono Public Library,Patton Public Library,6
North Pocono Public Library,Pleasant Mount Library,15
North Pocono Public Library,Portage Public Library,8
North Pocono Public Library,Roaring Spring Community Library,9
North Pocono Public Library,South Fork Public Library,3
North Pocono Public Library,Susquehanna,33
North Pocono Public Library,Taylor Community Library,240
North Pocono Public Library,Tunkhannock Public Library,140
North Pocono Public Library,Tyrone-Snyder Public Library,16
North Pocono Public Library,Valley Community Library,446
North Pocono Public Library,Wayne County Public Library,100
North Pocono Public Library,Williamsburg Public Library,1
North Wales Area Library,AccessPA NCIP Library,237
