Check Out Library Name,Circulation Modifier,Circulation
Milton Public Library,Electronic Device,560
Bethany Public Library,DVD,568
Abington Community Library,Equipment,570
Hamburg Public Library,Realia,570
Northern Wayne Community Library,DVD,571
Windber Public Library,Serial,573
Patton Public Library,DVD,585
Albright Memorial Library,ILL,585
Trone Memorial Library (East Berlin),ILL,587
Alexander Hamilton Memorial Free Library,Audiobook,590
Wyomissing Public Library,Audiobook,594
Easton Main Library,Realia,598
Friendship Community Library,Book,602
Ebensburg Public Library,Software,605
Portage Public Library,Software,611
Village Library,Audiobook,612
Valley Community Library,Realia,624
Ebensburg Public Library,Audiobook,625
Dingman Township Library,Equipment,632
Juniata County Library,Serial,635
Carroll Valley Library,Audiobook,640
Mifflin Community Library,Electronic Device,646
North Wales Area Library,Electronic Device,648
Carbondale Public Library,DVD-R,651
Whitehall Township Public Library,Media,651
Milford Library,ILL,654
Red Land Community Library,Audiobook,655
Dillsburg Area Public Library,Serial,655
Elkland Area Community Library,DVD,656
Dalton Community Library,Audiobook,665
Portage Public Library,DVD,670
Tyrone-Snyder Public Library,Equipment,671
Mason-Dixon Public Library,High Demand Books,671
Martin Library,ILL,671
Bethel Tulpehocken Public Library,Realia,675
Allentown Public Library,Realia,676
Ellwood City Area Public Library,DVD,679
Parkland Community Library,High Demand Books,680
Frackville Free Public Library,DVD,681
Milford Library,High Demand DVD and Blurays,681
Lower Macungie Library,Media,683
Bethlehem Coolidge Branch,DVD,688
Clymer Library,Audiobook,700
Brandywine Community Library,Serial,704
Paul Smith Library of Southern York County,High Demand Books,705
Harbaugh-Thomas Library (Biglerville),Audiobook,713
Glatfelter Memorial Library,DVD,717
RACC,Electronic Device,730
Albright Memorial Library,Kit,733
Minersville Public Library,DVD,734
Hamburg Public Library,Serial,736
Valley Community Library,Media,737
Kaltreider-Benfer Library,,740
Memorial Library of Nazareth and Vicinity,ILL,742
Fleetwood Area Public Library,Audiobook,744
Reading Public Library RPL - Main,Kit,744
Harbaugh-Thomas Library (Biglerville),High Demand Books,745
Federated Library System of Bedford County Outreach,Book,746
Tunkhannock Public Library,High Demand Books,746
Somerset County Library,Serial,747
Abington Community Library,Realia,749
Bethlehem South Side Branch,DVD-R,752
Hamburg Public Library,Kit,765
Paul Smith Library of Southern York County,Serial,767
North Pocono Public Library,DVD-R,772
Schuylkill Haven Free Public Library,Equipment,774
Tunkhannock Public Library,Audiobook,775
Abington Community Library,DVD Nonfiction,775
Dover Area Community Library,Serial,794
Robesonia Community Library,Media,795
Nanty Glo Public Library,Software,800
Fleetwood Area Public Library,Serial,808
Knoxville Public Library,DVD,811
Easton Main Library,Software,816
Brandywine Community Library,Electronic Device,817
Public Library of Catasauqua,Audiobook,818
Ebensburg Public Library,DVD,818
Montrose,Serial,828
Glatfelter Memorial Library,Audiobook,830
Tunkhannock Public Library,Serial,833
Westfield Public Library,Serial,839
Juniata County Library,Audiobook,840
Sinking Spring Library,Electronic Device,840
Kaltreider-Benfer Library,DVD,843
Village Library,Serial,850
West Lawn-Wyomissing Hills Library,Software,851
Southern Lehigh Public Library,Kit,854
Mason-Dixon Public Library,Audiobook,870
Collinsville Community Library,High Demand Books,872
Muhlenberg Community Library,Electronic Device,874
Galeton Public Library,DVD,882
Orwigsburg Area Free Public Library,Equipment,891
Taylor Community Library,DVD-R,893
Boone Area Library,Audiobook,897
Boyertown Community Library,Serial,899
Muhlenberg Community Library,Audiobook,903
BCPL - Headquarters,Book,905
Hughes Library,Kit,906
Wernersville Public Library,Serial,906
Easton Main Library,Media,912
Bethel Tulpehocken Public Library,Media,918
Highland Community Library,DVD-R,931
Brandywine Community Library,Audiobook,935
RPL - Southeast Branch Library,Media,935
Genesee Area Library,Book,948
Schuylkill Valley Community Library,Serial,948
Dillsburg Area Public Library,High Demand Books,949
Abington Community Library,Kit,953
Reading Public Library RPL - Main,Electronic Device,954
Pottsville Free Public Library,Audiobook,955
Smithfield Branch,Audiobook,961
Orwigsburg Area Free Public Library,DVD,972
Allentown Public Library,DVD Nonfiction,997
Dover Area Community Library,DVD,1005
Blossburg Memorial Library,DVD,1006
Frackville Free Public Library,Equipment,1010
York Literacy Institute,Book,1015
Nancy Kay Holmes Branch Library,DVD-R,1020
Wyomissing Public Library,Serial,1021
Memorial Library of Nazareth and Vicinity,Audiobook,1033
Schuylkill Valley Community Library,Audiobook,1034
Martin Library,DVD,1035
Hughes Library,High Demand Books,1043
Milford Library,Audiobook,1053
Parkland Community Library,DVD Nonfiction,1056
Oswayo Valley Memorial Library,DVD,1058
Hamburg Public Library,Audiobook,1059
Reading Public Library RPL - Main,Audiobook,1066
Shamokin Coal Twp Public Library,DVD,1080
Spring Township Library,Audiobook,1090
Public Library of Catasauqua,DVD,1098
Emmaus Public Library,Realia,1099
Barrett Paradise Friendly Library,Audiobook,1102
Parkland Community Library,Equipment,1111
Gettysburg Library,ILL,1112
Schuylkill Haven Free Public Library,DVD,1120
Hollidaysburg Area Public Library,Audiobook,1144
Mifflin Community Library,Media,1148
Exeter Community Library,Serial,1154
Bethlehem Main Library,DVD Nonfiction,1160
Southern Lehigh Public Library,Audiobook,1167
Guthrie Memorial Library: Hanover's Public Library,Media,1174
Easton Main Library,Audiobook,1176
North Wales Area Library,ILL,1194
Exeter Community Library,Media,1198
Pottsville Free Public Library,Software,1208
Pocono Mountain Public Library,Equipment,1216
Southern Lehigh Public Library,Serial,1216
Montrose,Audiobook,1225
Easton Main Library,High Demand Books,1233
Valley Community Library,Audiobook,1247
Somerset County Bookmobile,DVD,1253
Lower Macungie Library,Serial,1253
Southern Lehigh Public Library,Software,1253
Milford Library,Serial,1257
Alexander Hamilton Memorial Free Library,ILL,1270
Dalton Community Library,DVD,1271
Sinking Spring Library,Serial,1304
Renovo Area Library,Book,1307
Easton Palmer Branch,High Demand Books,1309
Emmaus Public Library,Audiobook,1338
Kutztown Community Library,Audiobook,1338
Hollidaysburg Area Public Library,High Demand Books,1341
Trone Memorial Library (East Berlin),Audiobook,1345
Barrett Paradise Friendly Library,High Demand Books,1349
Altoona Area Public Library,DVD Nonfiction,1354
Paul Smith Library of Southern York County,DVD,1381
Bethlehem Main Library,Realia,1398
Hallstead - Great Bend,DVD,1400
Kreutz Creek Valley Library,Audiobook,1401
Village Library of Morgantown,Audiobook,1402
Hawley Public Library,High Demand Books,1415
Gettysburg Library,Serial,1421
York Academy Regional Charter School- Upper School,Book,1422
Trone Memorial Library (East Berlin),High Demand Books,1423
Memorial Library of Nazareth and Vicinity,Serial,1426
Cambria County Library,DVD Nonfiction,1427
Mifflin Community Library,Audiobook,1437
Dover Area Community Library,Audiobook,1441
Dimmick Main Library,DVD,1443
Valley Community Library,DVD-R,1451
Martin Library,High Demand Books,1459
Annie Halenbake Ross Library,Audiobook,1474
Western Pocono Community Library,Kit,1479
Dillsburg Area Public Library,Audiobook,1488
Hollidaysburg Area Public Library,DVD,1507
Boyertown Community Library,Electronic Device,1522
Slatington Public Library,DVD,1528
Meyersdale Public Library,Equipment,1533
Lower Macungie Library,Realia,1537
Susquehanna,DVD,1540
Ringtown Area Library,DVD,1575
Juniata County Library,Equipment,1576
Milton Public Library,Software,1579
RPL - Northwest Branch Library,DVD,1612
Hughes Library,Serial,1614
Western Pocono Community Library,Media,1622
Shenandoah Area Free Public Library,DVD,1626
Degenstein Community Library,Equipment,1630
Barrett Paradise Friendly Library,Equipment,1631
Allentown Public Library,High Demand Books,1636
Bethlehem Main Library,ILL,1636
New Castle Public Library,Audiobook,1637
Meyersdale Public Library,DVD,1648
Bethlehem Main Library,High Demand Books,1652
Parkland Community Library,Serial,1680
Alexander Hamilton Memorial Free Library,Video,1686
Easton Palmer Branch,Audiobook,1693
Lackawanna County Children's Library,DVD,1704
Pleasant Mount Library,DVD,1707
Gettysburg Library,High Demand Books,1729
Shenandoah Area Free Public Library,Book,1741
Whitehall Township Public Library,Audiobook,1753
Albright Memorial Library,Realia,1753
Indian Valley Public Library,Serial,1758
Parkland Community Library,Audiobook,1768
Somerset County Library,DVD,1791
Kaltreider-Benfer Library,Audiobook,1807
Bethlehem South Side Branch,DVD,1811
Mansfield Free Public Library,DVD,1883
Taylor Community Library,Audiobook,1892
Ashland Public Library,DVD,1938
Cambria County Library,Media,1944
Indian Valley Public Library,ILL,1948
Hughes Library,Music,1957
Lower Macungie Library,High Demand Books,1959
Northern Wayne Community Library,Book,1967
Western Pocono Community Library,Audiobook,1992
South Fork Public Library,Book,2002
Abington Community Library,Media,2006
Wayne County Public Library,Audiobook,2007
Dillsburg Area Public Library,DVD,2046
Springettsbury Township,Book,2067
Cambria County Library,Software,2067
Western Pocono Community Library,High Demand Books,2070
Huntingdon County Library,Audiobook,2075
Highland Community Library,DVD,2087
Bethlehem Main Library,High Demand Audiobooks,2097
Easton Main Library,Serial,2145
Milford Library,Equipment,2160
Glatfelter Memorial Library,High Demand Books,2185
Lower Macungie Library,Audiobook,2213
Abington Community Library,Software,2217
Westfield Public Library,DVD,2218
Pocono Mountain Public Library,DVD,2224
Abington Community Library,DVD-R,2229
Bethany Public Library,Book,2253
Conemaugh Township Branch,Book,2287
Village Library,High Demand Books,2313
Kaltreider-Benfer Library,High Demand Books,2379
Annie Halenbake Ross Library,DVD,2392
Albright Memorial Library,DVD Nonfiction,2402
Abington Community Library,Serial,2422
Pocono Township Branch,DVD,2431
North Pocono Public Library,Audiobook,2436
Reading Public Library RPL - Main,Media,2439
Allentown Public Library,Audiobook,2442
Parkland Community Library,High Demand Audiobooks,2499
Boyertown Community Library,Audiobook,2501
Hyndman-Londonderry Public Library,Book,2509
Exeter Community Library,Audiobook,2514
Gettysburg Library,Audiobook,2517
Mahanoy City Public Library,Book,2551
Lackawanna County Children's Library,Audiobook,2570
Western Pocono Community Library,DVD,2642
Minersville Public Library,Book,2650
Bethlehem Main Library,Serial,2680
Newfoundland Area Library,DVD,2696
Wyomissing Public Library,DVD,2710
RPL - Northwest Branch Library,Book,2733
Bangor Public Library,DVD,2778
Arthur Hufnagel Public Library,Book,2811
RPL - Senior Outreach,DVD,2814
Kreutz Creek Valley Library,High Demand Books,2819
Everett Free Library,DVD,2840
Carbondale Public Library,DVD,2876
Hastings Public Library,Book,2882
Carroll Valley Library,DVD,2926
Guthrie Memorial Library: Hanover's Public Library,Audiobook,2940
Nancy Kay Holmes Branch Library,DVD,2973
Dover Area Community Library,High Demand Books,3031
Albright Memorial Library,Software,3076
Bethlehem Bookmobile,Book,3086
Albright Memorial Library,Media,3102
Gallitzin Public Library,Book,3161
Lehighton Area Memorial Library,DVD,3167
Clymer Library,DVD,3178
Montrose,DVD,3198
Easton Main Library,Equipment,3267
Western Pocono Community Library,Electronic Device,3339
Clearfield County Public Library,Book,3352
Frackville Free Public Library,Book,3358
Paul Smith Library of Southern York County,Audiobook,3385
Tamaqua Public Library,Equipment,3459
Lower Macungie Library,DVD-R,3463
Taylor Community Library,DVD,3565
Hamlin Library,DVD,3571
Cambria County Library,Audiobook,3619
Manchester Township,Book,3653
Hawley Public Library,DVD,3739
Martin Library,Audiobook,3893
Juniata County Library,DVD,3917
Carrolltown Public Library,Book,3918
Williamsburg Public Library,Book,3933
Clinton County Traveling Library,Book,3936
Guthrie Memorial Library: Hanover's Public Library,DVD,3954
Littlestown Library,DVD,3973
Pottsville Free Public Library,Equipment,3988
Somerset County Library,Equipment,3990
Penn-Kidder Branch,Book,4012
Degenstein Community Library,DVD,4043
Guthrie Memorial Library: Hanover's Public Library,High Demand Books,4044
Huntingdon County Library,DVD,4092
Dingman Township Library,DVD,4132
Ashland Public Library,Book,4136
Memorial Library of Nazareth and Vicinity,Kit,4186
Pottsville Free Public Library,DVD,4236
Northern Cambria Public Library,Book,4250
RPL - Northeast Branch,DVD,4282
Lilly Washington Public Library,Book,4429
North Pocono Public Library,DVD,4470
Hughes Library,Equipment,4478
Ulysses Library Association,Book,4509
Forest City,Book,4523
Altoona Area Public Library,Audiobook,4565
Galeton Public Library,Book,4586
Memorial Library of Nazareth and Vicinity,DVD,4596
Allentown Public Library,DVD-R,4606
Knoxville Public Library,Book,4728
Milton Public Library,DVD,4731
Pleasant Mount Library,Book,4751
Bethlehem Main Library,Software,4769
Barrett Paradise Friendly Library,DVD,4780
Albright Memorial Library,Serial,4861
RACC,DVD,4908
Bernville Area Community Library,DVD,4983
Bethlehem Main Library,Media,5142
RACC,Book,5236
New Oxford Library,DVD,5257
Ralpho Township Public Library,Book,5366
Cresson Public Library,Book,5414
Albright Memorial Library,Audiobook,5463
New Castle Public Library,DVD,5471
Beaverdale Public Library,Book,5516
Schuylkill Valley Community Library,DVD,5519
Allentown Public Library,Media,5647
Green Free Library (Wellsboro),DVD,5657
Blossburg Memorial Library,Book,5786
Indian Valley Public Library,Audiobook,5813
Bethlehem Main Library,Audiobook,5844
Hughes Library,Audiobook,5989
Claysburg Area Public Library,Book,6069
Harbaugh-Thomas Library (Biglerville),DVD,6102
Indian Valley Public Library,Music,6105
Valley Community Library,DVD,6125
Roaring Spring Community Library,Book,6156
West Lawn-Wyomissing Hills Library,DVD,6201
Patton Public Library,Book,6232
Abington Community Library,Audiobook,6291
Elkland Area Community Library,Book,6340
Bethlehem South Side Branch,Book,6362
Saxton Community Library,Book,6425
Oswayo Valley Memorial Library,Book,6512
FD Campbell Memorial Library,Book,6571
Lincoln Charter School,Book,6591
Newfoundland Area Library,Book,6641
Coplay Public Library,Book,6666
Robesonia Community Library,DVD,6726
Smithfield Branch,DVD,6850
Easton Palmer Branch,DVD,6863
Village Library of Morgantown,DVD,6904
Fleetwood Area Public Library,DVD,7002
Palmerton Area Library,DVD,7274
Tunkhannock Public Library,DVD,7294
Womelsdorf Community Library,DVD,7459
Windber Public Library,Book,7478
Nanty Glo Public Library,Book,7498
Sinking Spring Library,DVD,7547
Bellwood-Antis Public Library,Book,7869
Wernersville Public Library,DVD,7935
Whitehall Township Public Library,DVD,8061
Milford Library,DVD,8100
Albright Memorial Library,DVD-R,8323
Southern Lehigh Public Library,DVD,8370
Boone Area Library,DVD,8432
RPL - Senior Outreach,Book,8445
Ringtown Area Library,Book,8688
Trone Memorial Library (East Berlin),DVD,8723
Coudersport Public Library,Book,8765
Brandywine Community Library,DVD,8780
Slatington Public Library,Book,8885
Emmaus Public Library,DVD,9049
RPL - Southeast Branch Library,DVD,9430
Westfield Public Library,Book,9441
Spring Township Library,DVD,9464
Altoona Area Public Library,DVD,9633
Susquehanna,Book,9702
Bethel Tulpehocken Public Library,Audiobook,9840
Public Library of Catasauqua,Book,9878
Dimmick Main Library,Book,9917
Hallstead - Great Bend,Book,9981
Pocono Township Branch,Book,10466
Muhlenberg Community Library,DVD,10521
Monroe County Bookmobile,Book,10754
RPL - Northeast Branch,Book,10877
Schuylkill Haven Free Public Library,Book,10936
Cambria County Library,DVD,11076
Portage Public Library,Book,11087
Meyersdale Public Library,Book,11418
Curwensville Public Library,Book,11711
Allentown Public Library,DVD,11788
Wayne County Public Library,DVD,11878
Mansfield Free Public Library,Book,12034
Abington Community Library,DVD,12501
Bethlehem Main Library,DVD-R,12524
Monroe County Correctional Facility,Book,12588
Hamburg Public Library,DVD,12951
Kutztown Community Library,DVD,13259
Easton Main Library,DVD,13423
Pocono Mountain Public Library,Book,13873
Shamokin Coal Twp Public Library,Book,13876
Tamaqua Public Library,Book,14066
Mary S. Biesecker Main Library,Book,14102
Boyertown Community Library,DVD,14318
Lower Macungie Library,DVD,15181
Joseph & Elizabeth Shaw Public Library,Book,15344
Dalton Community Library,Book,15898
Bethlehem Coolidge Branch,Book,16726
Lehighton Area Memorial Library,Book,16743
Tyrone-Snyder Public Library,Book,17017
Everett Free Library,Book,17417
Hughes Library,DVD,17711
Nancy Kay Holmes Branch Library,Book,17741
Robesonia Community Library,Book,17877
Collinsville Community Library,Book,18454
Bethel Tulpehocken Public Library,DVD,18548
York Academy Regional Charter School- Lower School ,Book,18959
Mifflin Community Library,DVD,19206
Carroll Valley Library,Book,19656
Gettysburg Library,DVD,19669
RPL - Southeast Branch Library,Book,20206
Ebensburg Public Library,Book,20536
Albright Memorial Library,DVD,20728
Dingman Township Library,Book,20797
Martinsburg Community Library,Book,20874
Barrett Paradise Friendly Library,Book,21262
Parkland Community Library,DVD,21599
Somerset County Bookmobile,Book,22384
Pottsville Free Public Library,Book,22458
Littlestown Library,Book,22589
Exeter Community Library,DVD,22835
Bernville Area Community Library,Book,22990
Hamlin Library,Book,23278
Hawley Public Library,Book,23661
Smithfield Branch,Book,23780
New Oxford Library,Book,23786
Clymer Library,Book,24271
Womelsdorf Community Library,Book,25056
Degenstein Community Library,Book,25064
Milton Public Library,Book,25180
West Lawn-Wyomissing Hills Library,Book,25452
Ellwood City Area Public Library,Book,26165
Bedford County Library,Book,26733
Carbondale Public Library,Book,26821
Reading Public Library RPL - Main,DVD,28053
Bangor Public Library,Book,28195
Palmerton Area Library,Book,28244
DuBois Public Library,Book,28471
Somerset County Library,Book,28747
Boone Area Library,Book,29348
Schuylkill Valley Community Library,Book,31747
Annie Halenbake Ross Library,Book,31850
Orwigsburg Area Free Public Library,Book,32080
Wernersville Public Library,Book,32126
Bethlehem Main Library,DVD,34505
Alexander Hamilton Memorial Free Library,Book,34546
Taylor Community Library,Book,35910
Village Library of Morgantown,Book,36839
Highland Community Library,Book,36960
Sinking Spring Library,Book,38369
Wyomissing Public Library,Book,38729
Mason-Dixon Public Library,Book,39092
Green Free Library (Wellsboro),Book,39458
Harbaugh-Thomas Library (Biglerville),Book,40655
Hollidaysburg Area Public Library,Book,41033
Brandywine Community Library,Book,42252
Wayne County Public Library,Book,42481
Juniata County Library,Book,43317
Muhlenberg Community Library,Book,45552
Hamburg Public Library,Book,46361
Huntingdon County Library,Book,46393
Red Land Community Library,Book,47159
Trone Memorial Library (East Berlin),Book,47729
Fleetwood Area Public Library,Book,49540
Spring Township Library,Book,49626
Montrose,Book,50574
Indian Valley Public Library,DVD,51054
Reading Public Library RPL - Main,Book,52081
Western Pocono Community Library,Book,55319
Milford Library,Book,55904
New Castle Public Library,Book,57356
Tunkhannock Public Library,Book,59585
Whitehall Township Public Library,Book,59719
Lackawanna County Children's Library,Book,61402
Kutztown Community Library,Book,63035
Easton Palmer Branch,Book,64910
Village Library,Book,65377
Glatfelter Memorial Library,Book,69818
Mifflin Community Library,Book,71423
North Wales Area Library,Book,78200
North Pocono Public Library,Book,78378
Dillsburg Area Public Library,Book,80086
Southern Lehigh Public Library,Book,80777
Valley Community Library,Book,81997
Bethel Tulpehocken Public Library,Book,83269
Easton Main Library,Book,83393
Emmaus Public Library,Book,83682
Altoona Area Public Library,Book,85507
Cambria County Library,Book,85599
Gettysburg Library,Book,93325
Kreutz Creek Valley Library,Book,103238
Memorial Library of Nazareth and Vicinity,Book,105973
Kaltreider-Benfer Library,Book,110327
Albright Memorial Library,Book,111523
Allentown Public Library,Book,113796
Martin Library,Book,115322
Paul Smith Library of Southern York County,Book,115992
Boyertown Community Library,Book,127305
Hughes Library,Book,138783
Dover Area Community Library,Book,142319
Lower Macungie Library,Book,153957
Guthrie Memorial Library: Hanover's Public Library,Book,161107
Abington Community Library,Book,172004
Exeter Community Library,Book,174794
Parkland Community Library,Book,188855
Bethlehem Main Library,Book,225981
Indian Valley Public Library,Book,316158
